,Year,Month,Day,Rented_Bike_Count,Temperature_C,Humidity_percent,Wind_speed_m_s,Visibility_10m,Dew_point_temperature_C,Solar_Radiation_MJ_m2,Rainfall_mm,Snowfall_cm,Seasons,Holiday,Functioning_Day,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility_10m_Scaled,Temperature_C_Scaled,Humidity_percent_Scaled,Wind_speed_m_s_Scaled,Rented_Bike_LogScale
0,2017,12,1,9539,27.5825,45.875,1.5374999999999999,1870.75,7.617499999999996,0.24875,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.9276197587325291,0.2533734422002578,0.32088285229202035,0.26217228464419473,9.163248764442333
1,2017,12,2,8523,34.385,61.958333333333336,1.7125000000000001,1471.0833333333333,21.71,0.26375,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.7038056793522645,0.3313278899871078,0.5393322014714205,0.3146067415730338,9.050640993218508
2,2017,12,3,7222,40.775,81.54166666666667,1.6125,455.75,35.39,0.12541666666666665,0.16666666666666666,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.1352171173903913,0.40455522131499777,0.8053197509903792,0.28464419475655434,8.885025658050846
3,2017,12,4,8729,31.4525,52.5,3.4499999999999997,1362.8333333333333,14.134999999999998,0.28291666666666665,0.004166666666666667,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.6431854772849243,0.29772238934250106,0.41086587436332767,0.8352059925093632,9.074520648833648
4,2017,12,5,8307,23.975,36.416666666666664,1.1083333333333334,1959.4583333333333,0.634999999999998,0.035833333333333335,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.9772965909886366,0.21203266007735283,0.19241652518392752,0.13358302122347068,9.024974184996003
5,2017,12,6,6669,32.0825,70.79166666666667,0.6958333333333333,1186.875,22.6625,0.25583333333333336,0.05416666666666666,0.35833333333333334,Winter,1,1,0.0,0.0,0.0,1.0,0.5446484821616072,0.30494198538891276,0.6593095642331637,0.009987515605493132,8.80537513890967
6,2017,12,7,8549,33.965,67.54166666666667,1.6916666666666667,949.4166666666666,22.9775,0.24375,0.0,0.43333333333333335,Winter,1,1,0.0,0.0,0.0,1.0,0.41167137223790745,0.32651482595616677,0.6151669496321449,0.30836454431960053,9.053686561930807
7,2017,12,8,8032,25.115000000000002,41.75,1.8499999999999999,1872.2083333333333,4.34,0.2870833333333333,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.928436428121427,0.22509669101847873,0.26485568760611206,0.3558052434456929,8.991313336173812
8,2017,12,9,7233,30.4775,46.0,1.0791666666666668,1860.9583333333333,11.779999999999998,0.26333333333333336,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.922136407121357,0.28654920498495917,0.3225806451612903,0.12484394506866422,8.886547412512042
9,2017,12,10,3453,34.145,69.70833333333333,2.004166666666667,1043.0416666666667,24.740000000000002,0.08666666666666667,0.1708333333333333,1.3541666666666667,Winter,1,1,0.0,0.0,0.0,1.0,0.46410154700515677,0.32857756768371293,0.6445953593661573,0.40199750312109866,8.147288258706624
10,2017,12,11,5848,20.72,39.375,3.608333333333333,1991.1666666666667,-0.37000000000000455,0.2920833333333333,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.9950533168443895,0.17473141383755908,0.23259762308998302,0.8826466916354556,8.674025985443025
11,2017,12,12,5496,14.96,42.791666666666664,2.033333333333333,1966.7916666666667,-3.887500000000003,0.2833333333333333,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.9814032713442379,0.1087236785560808,0.27900396151669493,0.41073657927590507,8.61195776786066
12,2017,12,13,6019,16.49,41.166666666666664,1.7874999999999999,1954.125,-3.782499999999999,0.28375,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.9743099143663813,0.12625698324022344,0.2569326542161856,0.33707865168539325,8.702842538302868
13,2017,12,14,6398,19.6325,42.541666666666664,0.8875000000000001,1617.1666666666667,0.03500000000000014,0.15416666666666667,0.0,0.0,Winter,1,1,0.0,0.0,0.0,1.0,0.7856126187087291,0.16226901590030082,0.27560837577815506,0.06741573033707868,8.76389700713946
